		samlet klimaaftryk (danske fødevare)	Kilde	liter vand	Kilde	kcal pr 100g	Protein pr 100g	total-N	Fedt	mættede	monoumættede	polyumættede	Kulhydrat	tilgængelig	tilsat sukker	kostfibre	alkohol	aske	  	Kilde	kcal pr. kg Co2	Gram protein pr Kg Co2	Gram Fedt pr. Kg Co2	Gram kostfibre pr kg Co2
																				41				
	Kød																							
	Oksekød a) 13,9 0,2 1)	13,9	1	15415	41	157	21,1	3,4	7,8	3,3	3,7	0,3	0	0	0	0	0	1	70,8	41	112,9496403	15,17985612	5,611510791	
	Svinekød b) 4,6 0,2 2)	4,6	2	5988	41	119	20,5	3,28	3,9	1,43	1,64	0,44	0	0	0	0	0	0,9	74,8	41	258,6956522	44,56521739	8,47826087	
	Kylling, hel fersk 3,2 0,2 3)	3,2	3			115	18,2	2,9	4,2	1,3	1,3	0,9	0,6	0,6	0	0	0	0,9	76,2	41	359,375	56,875	13,125	
	Kyllingekød 5,5 0,2 3)	5,5	3	4325	41	133	20	3,2	5,7	1	1,9	1,5	0	0	0	0	0	1	74	41	241,8181818	36,36363636	10,36363636	
	Lam, hel5) 14,5 0,2 4)	14,5	4			171	2,9	3,2	9,8	4,5	3,6	0,8	0	0	0	0	0	1	69,1	41	117,9310345	2	6,75862069	
	Lammekød bryst råt 21,4 0,2 4)	21,4	4	10412	41	372	14,5	2,3	34,5	16,8	13	1,6	0	0	0	0	0	0,7	50,2	41	173,8317757	6,775700935	16,12149533	
	Mejeriprodukter og æg																							
	Skummetmælk 0,9 0,2 6)	0,9	6			36	3,5	0,5	0,3	0,2	0,1	0	4,7	4,7	0	0	0	0,7	90,8	41	400	38,88888889	3,333333333	
	Letmælk 1,0 0,2 6)	1	6			49	3,5	0,6	1,6	1,2	0,3	0	4,9	4,9	0	0	0	0,8	89,3	41	490	35	16	
	Sødmælk 1,2 0,2 6)	1,2	6			65	3,5	0,5	3,5	2,3	0,8	0,1	4,8	4,8	0	0	0	0,8	87,8	41	541,6666667	29,16666667	29,16666667	
	Yoghurt 1,3 0,2 6)	1,3	6			64	3,8	0,6	3,6	2,3	1	0,1	3,8	3,8	0	0	0	0,8	87,9	41	492,3076923	29,23076923	27,69230769	
	Creme fraiche, 18 % 3,1 0,2 6)	3,1	6			195	2,8	0,4	18,6	12	5	0,5	3,6	3,6	0	0	0	0,6	74,4	41	629,0322581	9,032258065	60	
	Creme fraiche, 38 % 5,2 0,2 6)	5,2	6			368	2,1	0,3	38,4	24,9	10,3	1,1	2,7	2,7	0	0	0	0,5	56,3	41	707,6923077	4,038461538	73,84615385	
	Fløde, 38 % 5,3 0,2 6)	5,3	6			367	2,1	0,3	38	24,8	10,2	0,9	3,2	3,2	0	0	0	0,5	57,1	41	692,4528302	3,962264151	71,69811321	
	Fløde, 9 % 2,5 0,2 6)	2,5	6			113	3,1	0,5	9,1	5,8	2,5	0,3	4,3	4,3	0	0	0	0,6	83	41	452	12,4	36,4	
	Brie, 45+  8,2 0,2 6)	8,2	6			285	20,8	3,3	22	14,2	5,9	0,6	0,2	0,2	0	0	0	3,5	53,1	41	347,5609756	25,36585366	26,82926829	
	Gul ost 30+, lav fedt ( Ca 17 %) 8,8 0,2 6)	8,8	6			266	28,7	4,5	16	10,4	4,3	0,5	1,1	1,1	0	0	0	4,5	49,8	41	302,2727273	32,61363636	18,18181818	
	Gul ost  45+ (Ca. 31 %) 9,6 0,2 6)	9,6	6			339	24,8	3,9	25,8	16,7	6,9	0,7	0,9	0,9	0	0	0	4,1	44,4	41	353,125	25,83333333	26,875	
	Feta (20 % fedt) 8,0 0,2 6)	8	6			259	19,4	3	19,2	12,4	5,2	0,5	1,5	1,5	0	0	0	5	54,9	41	323,75	24,25	24	
	Flødeost 60+ 6,6 0,2 6)	6,6	6			338	10,2	1,6	31,5	20,4	8,5	0,9	2,5	2,5	0	0	0	1,4	54,4	41	512,1212121	15,45454545	47,72727273	
	Hytteost 3,5 0,2 6)	3,5	6			105	12,2	1,9	5,4	3,5	1,5	0,2	1,5	1,5	0	0	0	1,4	79,7	41	300	34,85714286	15,42857143	
	Flødeis 2,8 0,2 34)	2,8	34			210	3,5	0,6	11	0	0	0	23,6	23,6	18	0	0	0,9	61	41	750	12,5	39,28571429	
	Æg 2,0 0,2 7)	2	7	196	41	144	12,6	2	9,9	2,6	3,8	1,8	0,8	0,8	0	0	0	0,9	75,8	41	720	63	49,5	
	Smør og fedtstoffer																							
	Smør 10,6 0,2 6)	10,6	6			744	0,5	0,1	81,4	51,9	23,2	1,8	0,6	0,6	0	0	0	1	15,6	41	701,8867925	0,4716981132	76,79245283	
	Smørbart blandingsprodukt 7,0 0,3 6)	7	6			737	0,4	0,1	80,8	40,2	28,6	8,1	0,4	0,4	0	0	0	1	17,1	41	1052,857143	0,5714285714	115,4285714	
	Margarine 70% 1,6 0,3 8)	1,6	8			646	0,8	0,1	80,6	31,6	23,4	18,8	0,5	0,5	0	0	0	2	16	41	4037,5	5	503,75	
	Rapsolie 1,8 0,2 9)	1,8	9			908	0	0,1	100	6,8	55,5	33,3	0	0	0	0	0	0	0	41	5044,444444	0	555,5555556	
	Solsikkeolie	2,5	40			908	0	0	100	10,2	22	63	0	0	0	0	0	0	0	41	3632	0	400	
	Palmeolie	3,6	40			908	0	0	100	49,3	37	9,3	0	0	0	0	0	0	0		2522,222222	0	277,7777778	
	Fisk fra dambrug																							
	Ørred, hel fersk 1,8 0,2 10)	1,8	10			148	19,1	3,1	7,8	0	0	0	0	0	0	0	0	1,3	72,3	41	822,2222222	106,1111111	43,33333333	
	Fisk og skaldyr fra havet																							
	Torsk, filet 2,8 0,2 10)	2,8	10			91	18,7	3	0,6	0,1	0	0,3	0	0	0	0	0	1,2	80,6	41	325	66,78571429	2,142857143	
	Fladfisk, vild, hel, fersk 3,3 0,2 10)	3,3	10			88	18,2	2,9	1,5	0,2	0,5	0,5	0	0	0	0	0	1,2	79,3	41	266,6666667	55,15151515	4,545454545	
	Sild, vild, hel, fersk 0,7 0,2 10)	0,7	10			205	18,1	2,9	14,5	35	6,9	2,7	0	0	0	0	0	1,4	67,3	41	2928,571429	258,5714286	207,1428571	
	Rejer, pillede, frosne 10,5 0,2 10)	10,5	10			78	16,8	2,7	1,1	0,2	0,3	0,4	0	0	0	0	0	1,6	80,9	41	74,28571429	16	1,047619048	
	Muslinger 0,1 0,2 10)	0,1	10			83	11,9	1,9	2,2	0,4	0,5	0,5	3,7	3,7	0	0	0	1,6	80,6	41	8300	1190	220	
	Hummer 20,2 0,2 10)	20,2	10			95	19,6	3,1	1,3	0,2	0,3	0,5	0,8	0,8	0	0	0	2,4	76	41	47,02970297	9,702970297	0,6435643564	
	Grøntsager																							
	Tomat (og agurk Co2), danske c) 0,8 - 11-15)	0,8	11-15	214	41	20	0,7	0,1	0,3	0,1	0	0,1	4,6	2,7	0	1,9	0	0,5	94	41	250	8,75	3,75	23,75
	Agurk (og tomat Co2), danske c)0,8 - 11-15)	0,8	11-15			11	0,7	0,1	0,1	0	0	0	2,1	1,4	0	0,7	0	0,4	96,7	41	137,5	8,75	1,25	8,75
	Salat Kruset(Frisee) (friland) d) 0,5 0,2 19)	0,5	19	237	41	19	1,3	0,2	0,2	0	0	0,1	3,3	2,4	0	0,9	0	1,4	93,8	41	380	26	4	18
	Løg 0,4 0,2 11)	0,4	11			46	1,6	0,3	0,3	0,1	0	0,1	10	8,1	0	1,9	0	0,5	87,7	41	1150	40	7,5	47,5
	Gulerod 0,2 0,2 11)	0,2	11			39	0,8	0,1	0,4	0,1	0	0,2	9,3	6,6	0	2,7	0	0,7	89,1	41	1950	40	20	135
	Kartoffel efterår  0,2 0,2 7)	0,2	7	287	41	87	2,2	0,4	0,2	0	0	0,1	19,6	18,2	0	1,4	0	1	77,1	41	4350	110	10	70
